Date,pos,neg,net,abs,Close,Volume,Open,High,Low,Short Volume,Short Exempt Volume,Short Per,Short up,Shortperch,Short Exempt Per,Nextopen
01/28/2021,0.013754045,0.020226537,-0.006472492,0.033980583,4.69,675220900,5.18,5.53,4.59,80506264,3185900,0.11922952,,,0.004718308,5.13
01/29/2021,0.015813953,0.019112051,-0.003298097,0.034926004,4.56,360766100,5.13,5.22,4.53,53711194,1350518,0.148880934,-26795070,0.029651414,0.003743473,4.97
02/01/2021,0.017361111,0.03125,-0.013888889,0.048611111,4.89,194969200,4.97,4.99,4.66,26527342,48681,0.136059142,-27183852,-0.012821793,0.000249686,4.74
02/02/2021,0.035433071,0.019685039,0.015748032,0.05511811,4.53,165679700,4.74,4.76,4.4,22291391,1416300,0.134545095,-4235951,-0.001514047,0.008548422,4.63
02/03/2021,0.008498584,0.042492918,-0.033994334,0.050991501,4.7,95964300,4.63,4.76,4.52,13726580,883627,0.143038401,-8564811,0.008493306,0.009207872,4.49
02/04/2021,0.021406728,0.018348624,0.003058104,0.039755352,4.37,151036400,4.49,4.56,4.3,23552142,224721,0.15593686,9825562,0.01289846,0.00148786,4.33
02/05/2021,0.023255814,0.031007752,-0.007751938,0.054263566,4.22,107158500,4.33,4.33,4.2,12311621,120712,0.114891688,-11240521,-0.041045172,0.001126481,4.28
02/08/2021,0,0,0,0,4.26,79270400,4.28,4.35,4.21,10332575,46026,0.130345942,-1979046,0.015454254,0.00058062,4.26
02/09/2021,0,0,0,0,4.19,83593900,4.26,4.27,4.17,8850988,104145,0.105880788,-1481587,-0.024465155,0.001245844,4.21
02/10/2021,0,0,0,0,4.17,79240200,4.21,4.22,4.1,8681313,76813,0.109556929,-169675,0.003676141,0.000969369,4.16
02/11/2021,0,0,0,0,4.1,62959000,4.16,4.17,4.07,5790206,93770,0.091967884,-2891107,-0.017589046,0.001489382,4.11
02/12/2021,0,0,0,0,4.17,50378300,4.11,4.22,4.07,6682755,10664,0.132651459,892549,0.040683575,0.000211678,4.17
02/16/2021,0,0,0,0,4.13,42745500,4.17,4.2,4.1,4551336,76153,0.106475208,-2131419,-0.026176251,0.001781544,4.1
02/17/2021,0.083333333,0,0.083333333,0.083333333,4.11,50251800,4.1,4.12,4.05,4520662,14091,0.0899602,-30674,-0.016515007,0.000280408,4.07
02/18/2021,0.018181818,0.072727273,-0.054545455,0.090909091,4.12,43669200,4.07,4.14,4.05,4566629,28836,0.104573223,45967,0.014613023,0.000660328,4.13
02/19/2021,0.066666667,0,0.066666667,0.066666667,4.07,28413700,4.13,4.14,4.06,4259495,9905,0.149909903,-307134,0.045336679,0.000348599,4.02
02/22/2021,0,0,0,0,3.96,56342100,4.02,4.04,3.96,5341406,4989,0.094803105,1081911,-0.055106798,8.85484E-05,3.93
02/23/2021,0,0,0,0,3.95,68365800,3.93,3.97,3.83,5716882,64650,0.083621957,375476,-0.011181147,0.000945648,3.94
02/24/2021,0,0,0,0,4.04,77998700,3.94,4.12,3.91,12278624,148735,0.15742088,6561742,0.073798923,0.001906891,4.25
02/25/2021,0.075,0,0.075,0.075,4.05,121260400,4.25,4.34,4.01,12442217,31216,0.102607422,163593,-0.054813458,0.000257429,4.01
02/26/2021,0.047619048,0,0.047619048,0.047619048,3.92,69094200,4.01,4.04,3.91,8316912,10543,0.120370624,-4125305,0.017763203,0.000152589,3.99
03/01/2021,0.111111111,0,0.111111111,0.111111111,4.04,39737000,3.99,4.1,3.98,4494564,5056,0.113107784,-3822348,-0.007262841,0.000127237,4.03
03/02/2021,0.03125,0.0234375,0.0078125,0.0546875,4.04,28923800,4.03,4.07,4,2514457,6545,0.08693384,-1980107,-0.026173944,0.000226284,4
03/03/2021,0.056603774,0,0.056603774,0.056603774,3.98,41232500,4,4.02,3.95,4375144,10119,0.106109113,1860687,0.019175273,0.000245413,3.96
03/04/2021,0,0,0,0,3.82,77327600,3.96,4,3.75,6922809,43062,0.089525719,2547665,-0.016583394,0.000556877,3.87
03/05/2021,0.01980198,0,0.01980198,0.01980198,3.88,60883300,3.87,3.9,3.77,4716059,67797,0.077460634,-2206750,-0.012065085,0.001113557,3.86
03/08/2021,0,0,0,0,3.87,44680000,3.86,3.97,3.83,4351382,29562,0.097389928,-364677,0.019929295,0.000661638,3.96
03/09/2021,0,0,0,0,3.96,28680500,3.96,4.01,3.95,2969453,5554,0.103535608,-1381929,0.006145679,0.000193651,4.04
03/10/2021,0.03030303,0,0.03030303,0.03030303,3.96,48009600,4.04,4.05,3.92,4605103,28960,0.095920462,1635650,-0.007615146,0.000603213,4.08
03/11/2021,0,0,0,0,4.1,47685600,4.08,4.14,4.05,7339104,13965,0.153906085,2734001,0.057985623,0.000292856,4.09
03/12/2021,0.04,0,0.04,0.04,4.22,42858300,4.09,4.22,4.08,4601451,15930,0.107364291,-2737653,-0.046541794,0.00037169,4.29
03/15/2021,0.018518519,0,0.018518519,0.018518519,4.3,59527500,4.29,4.39,4.26,8574244,49462,0.144038369,3972793,0.036674078,0.00083091,4.32
03/16/2021,0.043478261,0.017391304,0.026086957,0.060869565,4.24,36905600,4.32,4.35,4.19,3774719,26798,0.102280386,-4799525,-0.041757983,0.000726123,4.19
03/17/2021,0.021276596,0.063829787,-0.042553191,0.085106383,4.28,24511600,4.19,4.3,4.16,3294225,26336,0.134394532,-480494,0.032114146,0.00107443,4.04
03/18/2021,0.055555556,0.027777778,0.027777778,0.083333333,3.91,83759200,4.04,4.13,3.91,10304790,23586,0.123028754,7010565,-0.011365778,0.000281593,3.94
03/19/2021,0,0,0,0,4.02,47401800,3.94,4.09,3.93,5809936,15426,0.122567835,-4494854,-0.000460919,0.000325431,4.07
03/22/2021,0.023809524,0,0.023809524,0.023809524,4.06,31188900,4.07,4.11,4.04,3167713,59313,0.101565397,-2642223,-0.021002438,0.001901734,4.06
03/23/2021,0,0,0,0,3.98,33771300,4.06,4.08,3.98,3614778,15428,0.107036981,447065,0.005471584,0.000456838,3.98
03/24/2021,0.031746032,0.015873016,0.015873016,0.047619048,3.92,35003500,3.98,4,3.92,5053589,4465,0.14437382,1438811,0.037336839,0.000127559,3.92
03/25/2021,,,,,3.97,37997300,3.92,4,3.9,3433453,59219,0.090360447,-1620136,-0.054013373,0.001558505,4.02
03/26/2021,,,,,4.06,34493300,4.02,4.09,3.97,3160996,36516,0.091640869,-272457,0.001280423,0.00105864,4.04
03/29/2021,,,,,4.02,26233600,4.04,4.08,4,2299595,3817,0.087658385,-861401,-0.003982485,0.0001455,3.99
03/30/2021,,,,,3.99,29751400,3.99,4,3.91,3258925,75447,0.109538543,959330,0.021880158,0.002535914,3.97
03/31/2021,,,,,3.96,18639300,3.97,4,3.96,2314610,8233,0.12417902,-944315,0.014640477,0.000441701,
